DocID	FilerName	MemberName	State	District	Year	Destination	FilingType	DepartureDate	ReturnDate	TravelSponsor
500022801	Michael Chernin	Lieu, Ted	CA	36	2020	Universal City, CA	Original	2/18/2020	2/20/2020	Motion Picture Association
500022802	Austin Weatherford	Kinzinger, Adam	IL	16	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022803	Bruce Miller	Amodei, Mark	NV	2	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022804	Mitchell Ryan Rivard	Kildee, Daniel	MI	8	2020	El Paso, TX	Original	2/17/2020	2/22/2020	Woodrow Wilson International Center for Scholars
500022804	Mitchell Ryan Rivard	Kildee, Daniel	MI	8	2020	Mexico City, Mexico	Original	2/17/2020	2/22/2020	Woodrow Wilson International Center for Scholars
500022805	John Cameron Foster	Hern, Kevin	OK	1	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022806	Conor Walsh	Suozzi, Thomas R.	NY	3	2020	San Juan, PR	Original	2/20/2020	2/23/2020	Information Technology and Innovation Foundation
500022807	Laura Engquist	Balderson, Troy	OH	12	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022808	Sarah Miller	Mast, Brian	FL	21	2020	Cape Canaveral, FL	Original	2/19/2020	2/21/2020	Florida Ports Council
500022808	Sarah Miller	Mast, Brian	FL	21	2020	Jacksonville, FL	Original	2/19/2020	2/21/2020	Florida Ports Council
500022809	Mary Rosado	Barr, Andy	KY	6	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022810	Richard Laukitis	Walberg, Tim	MI	5	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022811	Jaryn Emhof	Webster, Daniel	FL	11	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022812	Jamie Robinette	Spano, Ross	FL	15	2020	White Sulpher Springs, WV	Original	2/19/2020	2/22/2020	Congressional Institute
500022813	Kevin W. Fitzpatrick	Chabot, Steve	OH	1	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022814	Ryan Carney	Steil, Bryan	WI	1	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022815	Stephen Siao	Green, Mark	TN	7	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022816	Robert D. Schroeder	Carter, John	TX	31	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022817	Martin L. Hall	Graves, Garret	LA	6	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022818	William Stuart Burns	Posey, Bill	FL	8	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022819	John Ferland	Massie, Thomas	KY	4	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022820	Elizabeth Diohep	Estes, Ron	KS	4	2020	New Orleans, LA	Original	2/18/2020	2/19/2020	Casey Family Programs
500022821	Andrew Gradison	Brady, Kevin	TX	8	2020	New Orleans, LA	Original	2/18/2020	2/19/2020	Casey Family Programs
500022822	Stephen Cote	McHenry, Patrick	NC	10	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022823	Matthew Meyer	Roe, David P.	TN	1	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022824	Adam Hewitt	Davidson, Warren	OH	8	2020	White Sulpher Springs, WV	Original	2/18/2020	2/21/2020	Congressional Institute
500022825	Anne Marie Chotvacs	Granger, Kay	TX	12	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022826	James Decker	Burgess, Michael	TX	26	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022827	Ryan Thomas O'Toole	McCarthy, Kevin	CA	20	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022828	Michael D. Comer II	Scalise, Steve	LA	1	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022830	Kerry Knott	Aderholt, Robert	AL	4	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022831	Allen Klump	Duncan, Jeff	SC	3	2020	Los Angeles, CA	Original	2/18/2020	2/20/2020	Motion Picture Association
500022831	Allen Klump	Duncan, Jeff	SC	3	2020	Universal City, CA	Original	2/18/2020	2/20/2020	Motion Picture Association
500022832	Joseph Knowles	Fitzpatrick, Brian	PA	1	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022833	Thomas Rice	McCaul, Michael	TX	10	2020	Kigali, Rwanda	Original	2/15/2020	2/22/2020	United Nations Foundation
500022834	Valentina J. Valenta	Posey, Bill	FL	8	2020	Cape Canaveral, FL	Original	2/19/2020	2/21/2020	Florida Ports Council
500022834	Valentina J. Valenta	Posey, Bill	FL	8	2020	Jacksonville, FL	Original	2/19/2020	2/21/2020	Florida Ports Council
500022835	Olivia Rose Hnat	Rodgers, Cathy	WA	5	2020	Berlin, Germany	Original	2/17/2020	2/21/2020	Global Women's Innovation Network
500022836	Jim Joice	Watkins, Steven C.	KS	2	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022837	Alex Payne	Schrier, Kim	WA	8	2020	New Orleans, LA	Original	2/18/2020	2/19/2020	Casey Family Programs
500022838	Annie Alburger	Joyce, David	OH	14	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022839	Patrick Carter	Hudson, Richard	NC	9	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022840	Matthew Russell	Conaway, K. Michael	TX	11	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022841	Paula Daneri	Scott, Robert	VA	3	2020	New Orleans, LA	Original	2/18/2020	2/19/2020	Casey Family Programs
500022842	Jonah Shumate	Crawford, Eric	AR	1	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022843	Michael Zetts	Ryan, Tim	OH	13	2020	Jerusalem, Israel	Original	2/14/2020	2/21/2020	Rebuilding Alliance
500022844	Joshua Grogis	Cole, Tom	OK	4	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022845	Dao Nguyen	Murphy, Stephanie N.	FL	7	2020	San Juan, PR	Original	2/20/2020	2/23/2020	Information Technology and Innovation Foundation
500022846	Laurie Saroff	Correa, J. Luis	CA	46	2020	Los Angeles, CA	Original	2/18/2020	2/19/2020	Motion Picture Association
500022846	Laurie Saroff	Correa, J. Luis	CA	46	2020	Universal City, CA	Original	2/18/2020	2/19/2020	Motion Picture Association
500022848	Jim Jordan	Jordan, Jim	OH	4	2020	Jerusalem, Israel	Original	2/13/2020	2/20/2020	12Tribe Films Foundation
500022849	Loredana Valtierra	Scott, Robert	VA	3	2020	Denver, CO	Original	2/17/2020	2/19/2020	Aspen Institute
500022850	Patrick Byrne	Fudge, Marcia L.	OH	11	2020	New Orleans, LA	Original	2/18/2020	2/19/2020	Casey Family Programs
500022851	Rachel Ver Velde	Grothman, Glenn	WI	6	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022852	Hillary Gross	Gibbs, Bob	OH	7	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022853	Megan Bel Miller	Scalise, Steve	LA	1	2020	White Sulpher Springs, WV	Original	2/19/2020	2/20/2020	Congressional Institute
500022854	Jack Minor	Walker, Mark	NC	6	2020	White Sulpher Springs, WV	Original	2/19/2020	2/22/2020	Congressional Institute
500022855	Kathleen Heffernan	Rutherford, John	FL	5	2020	Cape Canaveral, FL	Original	2/18/2020	2/21/2020	Florida Ports Council
500022855	Kathleen Heffernan	Rutherford, John	FL	5	2020	Jacksonville, FL	Original	2/18/2020	2/21/2020	Florida Ports Council
500022856	Catherine O'Connor	Walden, Greg	OR	2	2020	Berlin, Germany	Original	2/17/2020	2/21/2020	Global Women's Innovation Network
500022857	Michael Grider	Burchett, Tim	TN	2	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022858	Matthew Bisenius	Sensenbrenner, F. James	WI	5	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022859	Brendan Belair	Collins, Doug	GA	9	2020	White Sulpher Springs, WV	Original	2/19/2020	2/20/2020	Congressional Institute
500022861	Rebecca Shaw	Hollingsworth, Trey	IN	9	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022863	Mike Johnson	Johnson, Mike	LA	4	2020	Jerusalem, Israel	Original	2/13/2020	2/20/2020	12Tribe Films Foundation
500022864	Ruth Ward	Johnson, Mike	LA	4	2020	New Orleans, LA	Original	2/17/2020	2/19/2020	Casey Family Programs
500022865	Madeline Daly	Hayes, Jahana	CT	5	2020	New Orleans, LA	Original	2/18/2020	2/19/2020	Casey Family Programs
500022866	Chris Tudor	McClintock, Tom	CA	5	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022867	Desiree Koetzle	Stauber, Pete	MN	8	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022868	Jenifer Nawrocki Bradley	Rutherford, John	FL	5	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022869	Mitchell Ryan Rivard	Kildee, Daniel	MI	8	2020	El Paso, TX	Amendment	2/17/2020	2/22/2020	Woodrow Wilson International Center for Scholars
500022869	Mitchell Ryan Rivard	Kildee, Daniel	MI	8	2020	Mexico City, Mexico	Amendment	2/17/2020	2/22/2020	Woodrow Wilson International Center for Scholars
500022870	Jesse Von Stein	Young, Don	AK	0	2020	El Paso, TX	Original	2/17/2020	2/22/2020	Woodrow Wilson International Center for Scholars
500022870	Jesse Von Stein	Young, Don	AK	0	2020	Mexico City, Mexico	Original	2/17/2020	2/22/2020	Woodrow Wilson International Center for Scholars
500022871	Peter Barnes	Bishop, Dan	NC	8	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022872	Matthew Stroia	Kelly, Mike	PA	16	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022873	Andrew Christianson	Johnson, Dusty	SD	0	2020	White Sulpher Springs, WV	Original	2/18/2020	2/21/2020	Congressional Institute
500022875	Diane DeGette	DeGette, Diana	CO	1	2020	Kyoto, Japan	Original	2/15/2020	2/24/2020	US Association of Former Members of Congress
500022875	Diane DeGette	DeGette, Diana	CO	1	2020	Tokyo, Japan	Original	2/15/2020	2/24/2020	US Association of Former Members of Congress
500022876	Linda T. Sanchez	Sanchez, Linda	CA	38	2020	Kyoto, Japan	Original	2/15/2020	2/22/2020	US Association of Former Members of Congress
500022876	Linda T. Sanchez	Sanchez, Linda	CA	38	2020	Tokyo, Japan	Original	2/15/2020	2/22/2020	US Association of Former Members of Congress
500022877	Danielle Johnson	Nadler, Jerrold	NY	12	2020	Los Angeles, CA	Original	2/18/2020	2/20/2020	Motion Picture Association
500022877	Danielle Johnson	Nadler, Jerrold	NY	12	2020	Universal City, CA	Original	2/18/2020	2/20/2020	Motion Picture Association
500022878	Melissa Kiedrowicz Ellison	Sanchez, Linda	CA	38	2020	Los Angeles, CA	Original	2/18/2020	2/20/2020	Motion Picture Association
500022878	Melissa Kiedrowicz Ellison	Sanchez, Linda	CA	38	2020	Universal City, CA	Original	2/18/2020	2/20/2020	Motion Picture Association
500022879	Kimberley Meinert	Neal, Richard	MA	1	2020	New Orleans, LA	Original	2/18/2020	2/19/2020	Casey Family Programs
500022880	Kyle R. Kizzier	Mitchell, Paul	MI	10	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022881	Stephen Reynolds	Balderson, Troy	OH	12	2020	Clewiston, FL	Original	2/19/2020	2/21/2020	South Florida Agricultural Foundation
500022881	Stephen Reynolds	Balderson, Troy	OH	12	2020	West Palm Beach, FL	Original	2/19/2020	2/21/2020	South Florida Agricultural Foundation
500022882	Ellen Caroline Gosnell	Scalise, Steve	LA	1	2020	White Sulpher Springs, WV	Original	2/19/2020	2/20/2020	Congressional Institute
500022883	Rachel Rathore	Latta, Robert	OH	5	2020	Berlin, Germany	Original	2/17/2020	2/21/2020	Global Women's Innovation Network
500022884	Twinkle Patel	Steube, W. Gregory	FL	17	2020	Jerusalem, Israel	Original	2/15/2020	2/21/2020	Rebuilding Alliance
500022885	John Barton Reising	Scalise, Steve	LA	1	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022886	Drew Griffin	Latta, Robert	OH	5	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022887	Melissa Murphy	Rouzer, David	NC	7	2020	White Sulpher Springs, WV	Original	2/19/2020	2/20/2020	Congressional Institute
500022888	Quincy Cunningham	Baird, James	IN	4	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022889	Eric Bergren	Guthrie, Brett	KY	2	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022890	Steven Giaier	McCarthy, Kevin	CA	20	2020	White Sulpher Springs, WV	Original	2/19/2020	2/21/2020	Congressional Institute
500022891	Brenda L. Lawrence	Lawrence, Brenda L.	MI	14	2020	Elmau, Germany	Original	2/15/2020	2/20/2020	German Marshall Fund of the United States
Robert Bosch Stiftung
