DocID	FilerName	MemberName	State	District	Year	Destination	FilingType	DepartureDate	ReturnDate	TravelSponsor
500023081	Andrew Clyde	Clyde, Andrew	GA	9	2021	Miami, FL	Original	2/11/2021	2/13/2021	Conservative Partnership Institute, Inc.
500023082	Byron Donalds	Donalds, Byron	FL	19	2021	Miami, FL	Original	2/12/2021	2/13/2021	Conservative Partnership Institute, Inc.
500023083	Ted Budd	Budd, Ted	NC	13	2021	Miami, FL	Original	2/11/2021	2/13/2021	Conservative Partnership Institute, Inc.
500023084	Dan Bishop	Bishop, Dan	NC	8	2021	Miami, FL	Original	2/11/2021	2/13/2021	Conservative Partnership Institute, Inc.
500023085	Ralph Norman	Norman, Ralph	SC	5	2021	Miami, FL	Original	2/11/2021	2/13/2021	Conservative Partnership Institute, Inc.
500023086	Jim Jordan	Jordan, Jim	OH	4	2021	Miami, FL	Original	2/11/2021	2/13/2021	Conservative Partnership Institute, Inc.
500023087	Warren Davidson	Davidson, Warren	OH	8	2021	Miami, FL	Original	2/11/2021	2/15/2021	Conservative Partnership Institute, Inc.
500023088	Barry Moore	Moore, Barry	AL	2	2021	Miami, FL	Original	2/10/2021	2/13/2021	Conservative Partnership Institute, Inc.
500023089	Louie Gohmert	Gohmert, Louie	TX	1	2021	Miami, FL	Original	2/10/2021	2/13/2021	Conservative Partnership Institute, Inc.
500023090	Bob Good	Good, Bob	VA	5	2021	Miami, FL	Original	2/11/2021	2/13/2021	Conservative Partnership Institute, Inc.
500023091	Michael Cloud	Cloud, Michael	TX	27	2021	Miami, FL	Original	2/11/2021	2/14/2021	Conservative Partnership Institute, Inc.
500023092	Scott Perry	Perry, Scott	PA	10	2021	Miami, FL	Original	2/11/2021	2/14/2021	Conservative Partnership Institute, Inc.
500023092	Scott Perry	Perry, Scott	PA	10	2021	St. Petersburg, FL	Original	2/11/2021	2/14/2021	Conservative Partnership Institute, Inc.
500023093	H. Morgan Griffith	Griffith, H. Morgan	VA	9	2021	Miami, FL	Original	2/11/2021	2/15/2021	Conservative Partnership Institute, Inc.
500023094	Jody B. Hice	Hice, Jody B.	GA	10	2021	Miami, FL	Original	2/11/2021	2/13/2021	Conservative Partnership Institute, Inc.
